Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Wastegate Vacation - 18psi 93oct.ptm]
0.00,0.40,-1.50,1.50,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
0.05,0.40,-1.50,1.50,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
0.10,0.40,-1.50,1.50,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
0.15,0.40,-1.50,1.50,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1722.0,0.00,10.0,27.3,0,
0.20,0.40,-1.50,1.50,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1726.0,0.00,10.0,27.4,0,
0.25,0.40,-1.50,1.50,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1730.0,0.00,10.0,27.5,0,
0.30,0.40,-1.50,1.50,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1734.0,0.00,10.0,27.6,0,
0.35,0.40,-1.50,1.50,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1738.0,0.00,10.0,27.7,0,
0.40,0.40,-1.50,1.50,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1742.0,0.00,10.0,27.8,0,
0.45,0.40,-1.50,1.50,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1746.0,0.00,10.0,27.9,0,
0.50,0.40,-1.50,1.50,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
0.55,0.40,-1.50,1.50,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
0.60,0.40,-1.50,1.50,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
0.65,0.40,-1.50,1.50,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
0.70,0.40,-1.50,1.50,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
0.75,0.40,-1.50,1.50,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
0.80,0.40,-1.50,1.50,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
0.85,0.40,-1.50,1.50,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
0.90,0.40,-1.50,1.50,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
0.95,0.40,-1.50,1.50,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
1.00,0.40,-1.50,1.50,13.35,100.0,6.00,0.652,12.80,190.0,1.00,0.00,0.00,2100,2,5.5,14.0,82.0,88.0,202.0,3600.0,6.00,98.0,24.0,0,
1.05,0.40,-1.50,1.50,13.36,100.0,6.00,0.664,12.80,190.0,1.00,0.00,0.00,2104,2,5.7,14.1,82.0,88.0,202.0,3653.7,6.00,98.0,24.6,0,
1.10,0.40,-1.50,1.50,13.37,100.0,6.00,0.675,12.80,190.0,1.00,0.00,0.00,2107,2,5.8,14.2,82.0,88.0,202.0,3707.4,6.00,98.0,25.1,0,
1.15,0.40,-1.50,1.50,13.38,100.0,8.29,0.726,12.80,190.0,1.00,0.00,0.00,2147,2,5.9,14.3,82.0,88.7,202.0,3761.1,18.00,98.0,25.7,0,
1.20,0.40,-1.50,1.50,11.05,100.0,11.02,0.784,10.97,190.0,1.00,0.00,0.00,2194,2,6.0,14.4,82.0,89.6,202.0,3814.8,18.00,98.0,26.2,0,
1.25,0.40,-1.50,1.50,11.04,100.0,13.75,0.843,10.97,190.0,1.00,0.00,0.00,2241,2,6.1,14.4,82.0,90.5,202.0,3868.5,18.00,98.0,26.8,0,
1.30,0.40,-1.50,1.50,11.02,100.0,16.49,0.901,10.96,190.0,1.00,0.00,0.00,2288,2,6.2,14.6,82.0,91.3,202.0,3922.2,18.00,98.0,27.3,0,
1.35,0.40,-1.50,1.50,11.00,100.0,19.22,0.959,10.95,190.0,1.00,0.00,0.00,2335,2,6.3,14.9,82.0,92.2,202.0,3975.9,18.00,98.0,27.9,0,
1.40,0.40,-1.50,1.50,10.98,100.0,21.96,1.016,10.95,190.0,1.00,0.00,0.00,2382,2,6.4,15.3,82.0,93.0,202.0,4029.6,18.00,98.0,28.4,0,
1.45,0.40,-1.50,1.50,10.96,100.0,24.70,1.072,10.94,190.0,1.00,0.00,0.00,2429,2,6.5,15.7,82.0,93.9,202.0,4083.3,18.00,98.0,29.0,0,
1.50,0.40,-1.50,1.50,10.95,100.0,27.43,1.127,10.93,190.0,1.00,0.00,0.00,2476,2,6.6,16.2,82.0,94.8,202.0,4137.0,18.00,98.0,29.6,0,
1.55,0.40,-1.50,1.50,10.94,100.0,30.15,1.182,10.93,190.0,1.00,0.00,0.00,2523,2,6.7,16.7,82.0,95.6,202.0,4190.7,18.00,98.0,30.1,0,
1.60,0.40,-1.50,1.50,10.93,100.0,32.87,1.236,10.92,190.0,1.00,0.00,0.00,2570,2,6.8,17.2,82.0,96.5,202.0,4244.4,18.00,98.0,30.7,0,
1.65,0.40,-1.50,1.50,10.93,100.0,35.59,1.290,10.92,190.0,1.00,0.00,0.00,2617,2,6.9,17.9,82.0,97.4,202.0,4298.1,18.00,98.0,31.2,0,
1.70,0.40,-1.50,1.50,10.93,100.0,38.29,1.344,10.91,190.0,1.00,0.00,0.00,2663,2,7.0,18.5,82.0,98.2,202.0,4351.9,18.00,98.0,31.8,0,
1.75,0.40,-1.50,1.50,10.94,100.0,40.99,1.399,10.91,190.0,1.00,0.00,0.00,2710,2,7.0,19.3,82.0,99.1,202.0,4405.6,18.00,98.0,32.3,0,
1.80,0.40,-1.50,1.50,10.94,100.0,43.67,1.455,10.90,190.0,1.00,0.00,0.00,2757,2,7.1,20.1,82.0,100.0,202.0,4459.3,18.00,98.0,32.9,0,
1.85,0.40,-1.50,1.50,10.95,100.0,46.35,1.512,10.90,190.0,1.00,0.00,0.00,2804,2,7.2,20.9,82.0,100.8,202.0,4513.0,18.00,98.0,33.4,0,
1.90,0.40,-1.50,1.50,10.95,100.0,49.02,1.571,10.90,190.0,1.00,0.00,0.00,2851,2,7.3,21.8,82.0,101.7,202.0,4566.7,18.00,98.0,34.0,0,
1.95,0.40,-1.50,1.50,10.95,100.0,49.95,1.594,10.89,190.0,1.00,0.00,0.00,2870,2,7.5,22.4,82.0,102.0,202.0,4620.4,18.00,98.0,34.6,0,
2.00,0.40,-1.50,1.50,10.95,100.0,49.90,1.598,10.89,190.0,1.00,0.00,0.00,2874,2,7.6,22.9,82.0,102.0,202.0,4674.1,18.00,98.0,35.1,0,
