Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Almost Tidy - 16psi 93oct.ptm]
0.00,0.40,-1.00,3.10,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
0.05,0.40,-1.00,3.10,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
0.10,0.40,-1.00,3.10,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
0.15,0.40,-1.00,3.10,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1722.0,0.00,10.0,27.3,0,
0.20,0.40,-1.00,3.10,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1726.0,0.00,10.0,27.4,0,
0.25,0.40,-1.00,3.10,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1730.0,0.00,10.0,27.5,0,
0.30,0.40,-1.00,3.10,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1734.0,0.00,10.0,27.6,0,
0.35,0.40,-1.00,3.10,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1738.0,0.00,10.0,27.7,0,
0.40,0.40,-1.00,3.10,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1742.0,0.00,10.0,27.8,0,
0.45,0.40,-1.00,3.10,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,0.00,720,3,14.0,3.5,76.0,84.0,196.0,1746.0,0.00,10.0,27.9,0,
