Time (sec),AF Correction 1 (%),AF Learning 1 (%),AF Learning 3 (%),AF Sens 1 Ratio (AFR),Accel Position (%),Boost (psi),Calculated Load (g/rev),Comm Fuel Final (AFR),Coolant Temp (F),Dyn Adv Mult (DAM),Feedback Knock (deg),Fine Knock Learn (deg),Fuel Pressure (psi),Gear Position (gear),Ignition Timing (deg),Inj Duty Cycle (%),Intake Temp (F),Intake Temp Manifold (F),Oil Temp (F),RPM (RPM),Target Boost Final Rel (psi),Throttle Pos (%),Vehicle Speed (mph),Roughness Cyl 1 (count),AP Info:[AP3-SUB-006 v0.0.0-1][2024 USDM WRX MT SAMPLE DATA][Reflash: Sample Map Needs a Conversation - 16psi 91oct.ptm]
0.00,0.40,4.60,12.50,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
0.05,0.40,4.60,12.50,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
0.10,0.40,4.60,12.50,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
0.15,0.40,4.60,12.50,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1722.0,0.00,10.0,27.3,0,
0.20,0.40,4.60,12.50,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1726.0,0.00,10.0,27.4,0,
0.25,0.40,4.60,12.50,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1730.0,0.00,10.0,27.5,0,
0.30,0.40,4.60,12.50,14.63,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1734.0,0.00,10.0,27.6,0,
0.35,0.40,4.60,12.50,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1738.0,0.00,10.0,27.7,0,
0.40,0.40,4.60,12.50,14.64,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1742.0,0.00,10.0,27.8,0,
0.45,0.40,4.60,12.50,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1746.0,0.00,10.0,27.9,0,
0.50,0.40,4.60,12.50,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1750.0,0.00,10.0,28.0,0,
0.55,0.40,4.60,12.50,14.65,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1754.0,0.00,10.0,28.1,0,
0.60,0.40,4.60,12.50,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1758.0,0.00,10.0,28.2,0,
0.65,0.40,4.60,12.50,14.66,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1762.0,0.00,10.0,28.3,0,
0.70,0.40,4.60,12.50,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1766.0,0.00,10.0,28.4,0,
0.75,0.40,4.60,12.50,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1770.0,0.00,10.0,28.5,0,
0.80,0.40,4.60,12.50,14.67,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1774.0,0.00,10.0,28.6,0,
0.85,0.40,4.60,12.50,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1778.0,0.00,10.0,28.7,0,
0.90,0.40,4.60,12.50,14.68,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1782.0,0.00,10.0,28.8,0,
0.95,0.40,4.60,12.50,14.69,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1786.0,0.00,10.0,28.9,0,
1.00,0.40,4.60,12.50,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1710.0,0.00,10.0,27.0,0,
1.05,0.40,4.60,12.50,14.61,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1714.0,0.00,10.0,27.1,0,
1.10,0.40,4.60,12.50,14.62,12.0,-7.40,0.420,14.70,188.0,1.00,0.00,-1.17,720,3,14.0,3.5,76.0,84.0,196.0,1718.0,0.00,10.0,27.2,0,
1.20,0.40,4.60,12.50,13.35,100.0,1.94,0.652,12.80,190.0,1.00,0.00,-1.17,2100,2,5.5,14.0,82.0,88.0,202.0,3600.0,1.94,98.0,24.0,0,
1.25,0.40,4.60,12.50,13.36,100.0,1.94,0.664,12.80,190.0,1.00,0.00,-1.17,2104,2,5.7,14.1,82.0,88.0,202.0,3653.7,1.94,98.0,24.6,0,
1.30,0.40,4.60,12.50,13.37,100.0,1.94,0.675,12.80,190.0,1.00,0.00,-1.17,2107,2,5.8,14.2,82.0,88.0,202.0,3707.4,1.94,98.0,25.1,0,
1.35,0.40,4.60,12.50,13.38,100.0,2.69,0.726,12.80,190.0,1.00,0.00,-1.17,2147,2,5.9,14.3,82.0,88.7,202.0,3761.1,2.69,98.0,25.7,0,
1.40,0.40,4.60,12.50,13.38,100.0,3.58,0.785,12.80,190.0,1.00,0.00,-1.17,2194,2,6.0,14.4,82.0,89.6,202.0,3814.8,3.58,98.0,26.2,0,
1.45,0.40,4.60,12.50,13.38,100.0,4.48,0.844,12.80,190.0,1.00,0.00,-1.17,2241,2,6.1,14.4,82.0,90.5,202.0,3868.5,4.48,98.0,26.8,0,
1.50,0.40,4.60,12.50,13.37,100.0,5.38,0.903,12.80,190.0,1.00,0.00,-1.17,2288,2,6.2,14.6,82.0,91.3,202.0,3922.2,5.38,98.0,27.3,0,
1.55,0.40,4.60,12.50,13.36,100.0,6.28,0.962,12.80,190.0,1.00,0.00,-1.17,2335,2,6.3,14.9,82.0,92.2,202.0,3975.9,6.28,98.0,27.9,0,
1.60,0.40,4.60,12.50,13.35,100.0,7.18,1.019,12.80,190.0,1.00,0.00,-1.17,2382,2,6.4,15.3,82.0,93.0,202.0,4029.6,7.18,98.0,28.4,0,
1.65,0.40,4.60,12.50,13.33,100.0,8.08,1.076,12.80,190.0,1.00,0.00,-1.17,2429,2,6.5,15.7,82.0,93.9,202.0,4083.3,16.00,98.0,29.0,0,
